port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
1703.0,Isnas,Sea,Unknown,Unknown,FIN,60.4039,26.0323,Isnas (1703.0),Finland
1704.0,Akranes,Sea,Unknown,Unknown,ISL,64.3286,-22.0791,Akranes (1704.0),Iceland
1707.0,Ej Jiye,Unknown,Very Small,Open,LBN,33.64930000000002,35.40689999999997,Ej Jiye (1707.0),Lebanon
1710.0,Huron,Lake,Unknown,Open,USA,41.4091,-82.5855,Huron (1710.0),United States of America
1712.0,Enfe,Unknown,Very Small,Open,LBN,34.3602,35.7298,Enfe (1712.0),Lebanon
1714.0,Grand Isle,Sea,Unknown,Open,USA,29.233899999999977,-90.0,Grand Isle (1714.0),United States of America
1715.0,Gulfport,Sea,Unknown,Open,USA,30.35450000000002,-89.08729999999997,Gulfport (1715.0),United States of America
1716.0,Alameda,Sea,Unknown,Open,USA,37.79629999999355,-122.3129999999897,Alameda (1716.0),United States of America
1717.0,Whitegate,Sea,Unknown,Unknown,IRL,51.83140000000071,-8.251200000000072,Whitegate (1717.0),Ireland
1720.0,La Goulette,Sea,Unknown,Open,TUN,36.81410000000004,10.298499999999994,La Goulette (1720.0),Tunisia
